,pitch,step,velocity,duration
94,57.0,0.07923933333333366,50.0,0.07923933333333366
95,48.0,0.07923933333333366,48.0,0.07923933333333366
96,56.0,0.07923933333333366,50.0,0.07923933333333366
97,54.0,0.07725835000000814,48.0,0.07923193333333245
98,57.0,0.07626785833332406,48.0,0.0786621333333386
99,33.0,0.0019809833333397364,50.0,0.15729466666667236
100,48.0,0.07766424166666752,44.0,0.07864733333333618
101,60.0,0.07864733333333618,48.0,0.07864733333333618
102,35.0,0.0009830916666686562,42.0,0.15729466666665815
103,50.0,0.07864733333332197,44.0,0.07864733333333618
104,54.0,0.07864733333333618,48.0,0.1278019166666695
105,48.0,0.07766424166666752,44.0,0.07864733333333618
106,19.0,0.05013767500000199,38.0,0.5013767500000057
107,26.0,0.014746375000001422,38.0,0.014746375000001422
108,35.0,0.014746375000001422,45.0,0.47188400000000286
109,57.0,0.002949274999991758,48.0,0.07864733333333618
110,50.0,0.07668114999999887,44.0,0.07864733333333618
111,56.0,0.07864733333333618,45.0,0.07864733333333618
112,47.0,0.08061351666667349,42.0,0.07864733333333618
113,55.0,0.07668114999999887,44.0,0.07864733333333618
114,50.0,0.07963042500000483,41.0,0.0787231333333267
115,54.0,0.07974412500000483,44.0,0.08167933333332655
116,47.0,0.08167933333332655,41.0,0.08167933333334076
117,53.0,0.08167933333334076,42.0,0.08167933333332655
118,50.0,0.08167933333332655,40.0,0.08167933333332655
119,52.0,0.07657437500000697,42.0,0.08167933333332655
120,47.0,0.08372131666665439,40.0,0.08167933333334076
121,52.0,0.08065834166667685,62.0,0.07956229791666658
122,31.0,0.0010209916666639174,70.0,0.4772130000000061
123,47.0,0.07854130625000266,59.0,0.07953549999999154
124,35.0,0.07708820000000571,66.0,0.09367679999999723
125,68.0,0.001951599999998166,84.0,0.09367679999999723
126,29.0,0.07611239999999952,74.0,0.09367679999999723
127,74.0,0.001951599999998166,89.0,0.09367679999999723
128,35.0,0.07513660000000755,66.0,0.09367679999999723
129,68.0,0.003903199999996332,84.0,0.09367679999999723
130,73.0,0.07318499999999517,89.0,0.09367679999999723
131,32.0,0.003903199999996332,74.0,0.09367680000001144
132,65.0,0.07611239999999952,84.0,0.09367680000001144
133,38.0,0.0029274000000043543,66.0,0.09367679999999723
134,32.0,0.07611239999999952,73.0,0.09367679999999723
135,72.0,0.0009758000000061884,89.0,0.09367679999999723
136,68.0,0.07416080000000136,82.0,0.09367679999999723
137,38.0,0.004878999999988309,63.0,0.09367680000001144
138,71.0,0.07513660000000755,88.0,0.09367679999999723
