,pitch,step,velocity,duration
41,70.0,0.08085377083333256,71.0,0.07609766666666751
42,63.0,0.07324400416666776,69.0,0.07609766666666573
43,69.0,0.07419522500000042,71.0,0.07609766666666573
44,60.0,0.07609766666666573,69.0,0.07609766666666573
45,68.0,0.07609766666666573,78.0,0.07858359166666773
46,43.0,0.0019024416666688637,88.0,0.4718839999999993
47,63.0,0.07864733333333263,71.0,0.07864733333333263
48,67.0,0.07963042500000128,78.0,0.07864733333333263
49,60.0,0.07864733333333263,71.0,0.07864733333333263
50,66.0,0.07864733333333263,78.0,0.07864733333333263
51,63.0,0.07864733333333263,71.0,0.07870132708333344
52,65.0,0.07569805833333376,78.0,0.08285884583333214
53,39.0,0.0019661833333337597,82.0,0.49780099999999905
54,60.0,0.08400391874999968,69.0,0.08296683333333377
55,64.0,0.08192974791666785,71.0,0.08296683333333377
56,60.0,0.08296683333333377,69.0,0.08296683333333377
57,63.0,0.08089266249999838,71.0,0.08296683333333377
58,55.0,0.08607808958333507,69.0,0.08288796874999704
59,43.0,0.0819297479166643,82.0,0.9198920000000008
60,62.0,0.0019164416666654915,71.0,0.0766576666666694
61,55.0,0.0766576666666694,69.0,0.07665766666666585
62,61.0,0.0756994458333331,71.0,0.07665766666666585
63,51.0,0.07474122500000036,69.0,0.07665766666666585
64,60.0,0.08049054999999683,71.0,0.0766576666666694
65,55.0,0.0756994458333331,69.0,0.0766576666666694
66,59.0,0.07761588750000215,71.0,0.07665766666666585
67,51.0,0.07665766666666585,69.0,0.07665766666666585
68,58.0,0.07474122500000036,71.0,0.07665766666666585
69,51.0,0.07378300416666761,69.0,0.07665766666666585
70,57.0,0.07857410833333134,71.0,0.0766576666666694
71,48.0,0.0756994458333331,69.0,0.0766576666666694
72,12.0,0.07761588750000215,99.0,0.23683600000000027
73,56.0,0.0029604499999997813,56.0,0.07894533333333342
74,51.0,0.07499806666666586,51.0,0.07894533333333342
75,55.0,0.0819057833333332,56.0,0.07894533333333342
76,48.0,0.0799321500000012,56.0,0.07894533333333342
77,54.0,0.07894533333333342,56.0,0.07894533333333342
78,51.0,0.07894533333333342,51.0,0.07889073333333485
79,31.0,0.07598488333333364,69.0,0.3487019999999994
